timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776365915.3577976,0,99.0,73675.875,81920.0,383.051,1410
1776365915.4579053,0,99.0,73675.875,81920.0,374.783,1410
1776365915.557995,0,99.0,73675.875,81920.0,370.156,1410
1776365915.6580863,0,97.0,73675.875,81920.0,378.913,1410
1776365915.7581797,0,97.0,73675.875,81920.0,379.515,1410
1776365915.8583412,0,100.0,73675.875,81920.0,380.117,1410
1776365915.9584415,0,100.0,73675.875,81920.0,379.908,1410
1776365916.0585322,0,100.0,73675.875,81920.0,379.638,1410
1776365916.1588197,0,100.0,73675.875,81920.0,383.051,1410
1776365916.2590005,0,100.0,73675.875,81920.0,386.122,1410
1776365916.3591666,0,100.0,73675.875,81920.0,381.908,1410
1776365916.4592633,0,100.0,73675.875,81920.0,382.179,1410
1776365916.5593529,0,100.0,73675.875,81920.0,382.304,1410
1776365916.659489,0,100.0,73675.875,81920.0,380.712,1410
1776365916.7595818,0,100.0,73675.875,81920.0,381.98,1410
1776365916.8596923,0,100.0,73675.875,81920.0,382.781,1410
1776365916.959791,0,100.0,73675.875,81920.0,380.388,1410
1776365917.0598788,0,100.0,73675.875,81920.0,382.575,1410
1776365917.1599743,0,100.0,73675.875,81920.0,380.782,1410
1776365917.2602236,0,100.0,73675.875,81920.0,380.388,1410
1776365917.3603153,0,100.0,73675.875,81920.0,380.712,1410
1776365917.4604037,0,100.0,73675.875,81920.0,382.511,1410
1776365917.5605688,0,100.0,73675.875,81920.0,381.98,1410
1776365917.6606686,0,99.0,73675.875,81920.0,383.653,1410
1776365917.7607732,0,99.0,73675.875,81920.0,373.308,1410
1776365917.8608747,0,99.0,73675.875,81920.0,382.575,1410
1776365917.9610016,0,99.0,73675.875,81920.0,382.179,1410
1776365918.061118,0,99.0,73675.875,81920.0,381.106,1410
1776365918.1612427,0,99.0,73675.875,81920.0,381.908,1410
1776365918.2613895,0,100.0,73675.875,81920.0,382.179,1410
1776365918.3615718,0,100.0,73675.875,81920.0,379.035,1410
1776365918.461709,0,99.0,73675.875,81920.0,380.982,1410
1776365918.5618043,0,99.0,73675.875,81920.0,382.179,1410
1776365918.6619098,0,100.0,73675.875,81920.0,381.908,1410
1776365918.762008,0,100.0,73675.875,81920.0,381.584,1410
1776365918.8621166,0,100.0,73675.875,81920.0,382.575,1410
1776365918.962218,0,100.0,73675.875,81920.0,383.448,1410
1776365919.0623114,0,100.0,73675.875,81920.0,385.444,1410
1776365919.1624172,0,100.0,73675.875,81920.0,380.982,1410
1776365919.2625055,0,100.0,73675.875,81920.0,381.314,1410
1776365919.362612,0,100.0,73675.875,81920.0,381.908,1410
1776365919.4627013,0,99.0,73675.875,81920.0,381.584,1410
1776365919.5634177,0,99.0,73675.875,81920.0,383.653,1410
1776365919.6635082,0,100.0,73675.875,81920.0,356.207,1410
1776365919.7635977,0,100.0,73675.875,81920.0,357.953,1410
1776365919.8636873,0,100.0,73675.875,81920.0,356.71,1410
1776365919.963783,0,100.0,73675.875,81920.0,354.317,1410
1776365920.063872,0,100.0,73675.875,81920.0,356.981,1410
1776365920.1639667,0,100.0,73675.875,81920.0,354.684,1410
1776365920.2640817,0,100.0,73675.875,81920.0,354.912,1410
1776365920.3641706,0,100.0,73675.875,81920.0,356.809,1410
1776365920.4642699,0,100.0,73675.875,81920.0,355.244,1410
1776365920.5643582,0,100.0,73675.875,81920.0,356.108,1410
1776365920.6644435,0,100.0,73675.875,81920.0,357.35,1410
1776365920.7645314,0,100.0,73675.875,81920.0,355.279,1410
1776365920.864617,0,100.0,73675.875,81920.0,353.445,1410
1776365920.9647567,0,100.0,73675.875,81920.0,354.684,1410
1776365921.064977,0,100.0,73675.875,81920.0,353.445,1410
1776365921.1651099,0,100.0,73675.875,81920.0,356.477,1410
1776365921.2652357,0,100.0,73675.875,81920.0,354.414,1410
1776365921.3653445,0,100.0,73675.875,81920.0,352.01,1410
1776365921.4654524,0,100.0,73675.875,81920.0,351.145,1410
1776365921.565575,0,100.0,73675.875,81920.0,351.106,1410
1776365921.6656935,0,100.0,73675.875,81920.0,350.781,1410
1776365921.7658036,0,100.0,73675.875,81920.0,354.414,1410
1776365921.8659241,0,100.0,73675.875,81920.0,351.145,1410
1776365921.9660404,0,100.0,73675.875,81920.0,352.843,1410
1776365922.066185,0,100.0,73675.875,81920.0,352.613,1410
1776365922.1663346,0,100.0,73675.875,81920.0,351.145,1410
