2026/04/19 16:39:15.506, 69229 MiB, 81920 MiB, 85 %, 313.77 W
2026/04/19 16:39:16.534, 69229 MiB, 81920 MiB, 87 %, 318.24 W
2026/04/19 16:39:17.562, 69229 MiB, 81920 MiB, 87 %, 321.18 W
2026/04/19 16:39:18.590, 69229 MiB, 81920 MiB, 86 %, 311.42 W
2026/04/19 16:39:19.619, 69229 MiB, 81920 MiB, 87 %, 306.67 W
2026/04/19 16:39:20.647, 69229 MiB, 81920 MiB, 87 %, 297.46 W
2026/04/19 16:39:21.674, 69229 MiB, 81920 MiB, 86 %, 307.00 W
2026/04/19 16:39:22.706, 69229 MiB, 81920 MiB, 87 %, 325.65 W
2026/04/19 16:39:23.734, 69229 MiB, 81920 MiB, 87 %, 305.47 W
2026/04/19 16:39:24.762, 69229 MiB, 81920 MiB, 87 %, 305.47 W
2026/04/19 16:39:25.794, 69229 MiB, 81920 MiB, 89 %, 308.47 W
2026/04/19 16:39:26.826, 69229 MiB, 81920 MiB, 87 %, 294.51 W
2026/04/19 16:39:27.856, 69229 MiB, 81920 MiB, 86 %, 318.84 W
2026/04/19 16:39:28.885, 69229 MiB, 81920 MiB, 87 %, 318.56 W
2026/04/19 16:39:29.916, 69229 MiB, 81920 MiB, 86 %, 324.78 W
2026/04/19 16:39:30.948, 69229 MiB, 81920 MiB, 87 %, 320.04 W
2026/04/19 16:39:31.986, 69229 MiB, 81920 MiB, 85 %, 326.85 W
2026/04/19 16:39:33.016, 69229 MiB, 81920 MiB, 87 %, 280.27 W
2026/04/19 16:39:34.050, 69229 MiB, 81920 MiB, 86 %, 324.78 W
2026/04/19 16:39:35.078, 69229 MiB, 81920 MiB, 88 %, 301.05 W
2026/04/19 16:39:36.110, 69229 MiB, 81920 MiB, 87 %, 301.66 W
2026/04/19 16:39:37.140, 69229 MiB, 81920 MiB, 87 %, 309.94 W
2026/04/19 16:39:38.169, 69229 MiB, 81920 MiB, 86 %, 304.61 W
2026/04/19 16:39:39.205, 69229 MiB, 81920 MiB, 87 %, 308.76 W
2026/04/19 16:39:40.233, 69229 MiB, 81920 MiB, 84 %, 321.50 W
2026/04/19 16:39:41.263, 69229 MiB, 81920 MiB, 86 %, 292.71 W
2026/04/19 16:39:42.292, 69229 MiB, 81920 MiB, 87 %, 320.90 W
2026/04/19 16:39:43.320, 69229 MiB, 81920 MiB, 89 %, 314.37 W
2026/04/19 16:39:44.348, 69229 MiB, 81920 MiB, 88 %, 317.03 W
2026/04/19 16:39:45.376, 69229 MiB, 81920 MiB, 85 %, 295.38 W
2026/04/19 16:39:46.410, 69229 MiB, 81920 MiB, 88 %, 295.38 W
2026/04/19 16:39:47.439, 69229 MiB, 81920 MiB, 87 %, 311.74 W
2026/04/19 16:39:48.467, 69229 MiB, 81920 MiB, 88 %, 296.31 W
2026/04/19 16:39:49.495, 69229 MiB, 81920 MiB, 86 %, 317.09 W
2026/04/19 16:39:50.523, 69229 MiB, 81920 MiB, 87 %, 302.49 W
2026/04/19 16:39:51.552, 69229 MiB, 81920 MiB, 86 %, 327.11 W
2026/04/19 16:39:52.579, 69229 MiB, 81920 MiB, 87 %, 300.42 W
2026/04/19 16:39:53.611, 69229 MiB, 81920 MiB, 85 %, 308.74 W
2026/04/19 16:39:54.640, 69229 MiB, 81920 MiB, 86 %, 327.98 W
2026/04/19 16:39:55.667, 69229 MiB, 81920 MiB, 87 %, 317.36 W
2026/04/19 16:39:56.694, 69229 MiB, 81920 MiB, 88 %, 309.94 W
2026/04/19 16:39:57.722, 69229 MiB, 81920 MiB, 86 %, 321.24 W
2026/04/19 16:39:58.750, 69229 MiB, 81920 MiB, 84 %, 323.31 W
2026/04/19 16:39:59.778, 69229 MiB, 81920 MiB, 85 %, 308.15 W
2026/04/19 16:40:00.812, 69229 MiB, 81920 MiB, 85 %, 301.66 W
2026/04/19 16:40:03.278, 69229 MiB, 81920 MiB, 87 %, 300.46 W
2026/04/19 16:40:04.326, 69229 MiB, 81920 MiB, 87 %, 320.04 W
2026/04/19 16:40:05.648, 69229 MiB, 81920 MiB, 88 %, 301.93 W
2026/04/19 16:40:06.710, 69247 MiB, 81920 MiB, 87 %, 325.32 W
2026/04/19 16:40:07.968, 69229 MiB, 81920 MiB, 86 %, 304.61 W
2026/04/19 16:40:09.005, 69229 MiB, 81920 MiB, 87 %, 320.31 W
2026/04/19 16:40:10.042, 69229 MiB, 81920 MiB, 85 %, 316.49 W
2026/04/19 16:40:11.079, 69229 MiB, 81920 MiB, 86 %, 323.25 W
2026/04/19 16:40:12.114, 69229 MiB, 81920 MiB, 88 %, 284.69 W
2026/04/19 16:40:13.154, 69229 MiB, 81920 MiB, 88 %, 331.60 W
2026/04/19 16:40:14.191, 69229 MiB, 81920 MiB, 87 %, 296.85 W
2026/04/19 16:40:15.220, 69229 MiB, 81920 MiB, 86 %, 328.32 W
2026/04/19 16:40:16.247, 69229 MiB, 81920 MiB, 88 %, 321.83 W
2026/04/19 16:40:17.275, 69229 MiB, 81920 MiB, 87 %, 303.13 W
2026/04/19 16:40:18.309, 69229 MiB, 81920 MiB, 88 %, 311.74 W
2026/04/19 16:40:19.338, 69229 MiB, 81920 MiB, 88 %, 322.64 W
2026/04/19 16:40:20.367, 69229 MiB, 81920 MiB, 87 %, 320.57 W
2026/04/19 16:40:21.396, 69229 MiB, 81920 MiB, 86 %, 301.33 W
2026/04/19 16:40:22.424, 69229 MiB, 81920 MiB, 87 %, 325.65 W
2026/04/19 16:40:23.453, 69229 MiB, 81920 MiB, 87 %, 290.97 W
2026/04/19 16:40:24.481, 69229 MiB, 81920 MiB, 87 %, 310.82 W
2026/04/19 16:40:25.513, 69229 MiB, 81920 MiB, 86 %, 330.98 W
2026/04/19 16:40:26.541, 69229 MiB, 81920 MiB, 87 %, 319.11 W
2026/04/19 16:40:27.569, 69229 MiB, 81920 MiB, 87 %, 301.62 W
2026/04/19 16:40:28.598, 69229 MiB, 81920 MiB, 87 %, 304.88 W
2026/04/19 16:40:29.626, 69229 MiB, 81920 MiB, 87 %, 305.47 W
2026/04/19 16:40:30.654, 69229 MiB, 81920 MiB, 87 %, 303.40 W
2026/04/19 16:40:31.682, 69229 MiB, 81920 MiB, 88 %, 323.91 W
2026/04/19 16:40:32.714, 69229 MiB, 81920 MiB, 87 %, 318.56 W
2026/04/19 16:40:33.742, 69229 MiB, 81920 MiB, 87 %, 313.82 W
2026/04/19 16:40:34.771, 69229 MiB, 81920 MiB, 87 %, 300.15 W
2026/04/19 16:40:35.798, 69229 MiB, 81920 MiB, 1 %, 128.08 W
2026/04/19 16:40:36.825, 69229 MiB, 81920 MiB, 86 %, 314.96 W
2026/04/19 16:40:37.853, 69229 MiB, 81920 MiB, 88 %, 302.20 W
2026/04/19 16:40:38.885, 69229 MiB, 81920 MiB, 86 %, 302.53 W
2026/04/19 16:40:39.914, 69229 MiB, 81920 MiB, 86 %, 314.69 W
2026/04/19 16:40:40.943, 69229 MiB, 81920 MiB, 86 %, 304.89 W
2026/04/19 16:40:41.999, 69229 MiB, 81920 MiB, 87 %, 321.51 W
2026/04/19 16:40:43.034, 69229 MiB, 81920 MiB, 87 %, 317.63 W
2026/04/19 16:40:44.063, 69229 MiB, 81920 MiB, 88 %, 309.08 W
2026/04/19 16:40:45.096, 69229 MiB, 81920 MiB, 91 %, 337.87 W
2026/04/19 16:40:46.126, 69229 MiB, 81920 MiB, 81 %, 128.36 W
